,source,target,value
0,Rue,Foxface,2
1,Rue,Prim,5
2,Rue,Peeta,3
3,Rue,Katniss,3
4,Rue,Thresh,5
5,Cato,Foxface,3
6,Cato,Peeta,15
7,Cato,Clove,11
8,Cato,Thresh,14
9,Foxface,Clove,2
10,Foxface,Thresh,2
11,Prim,Lady,3
12,Prim,Buttercup,2
13,Prim,Gale,4
14,Peeta,Caesar,3
15,Peeta,Katniss,10
16,Peeta,Thresh,3
17,Peeta,Gale,6
18,Peeta,Cinna,5
19,Peeta,Portia,5
20,Peeta,Haymitch,23
21,Peeta,Effie,6
22,Katniss,Cinna,3
23,Katniss,Effie,2
24,Clove,Thresh,6
25,Gale,Madge,2
26,Cinna,Portia,13
27,Cinna,Haymitch,4
28,Cinna,Effie,5
29,Portia,Haymitch,3
30,Portia,Effie,2
31,Haymitch,Effie,23
